date,hour,year,month,weekday,temperature_2m_(°c),relativehumidity_2m_(%),weathercode_(wmo code)
2021-01-01,0,2021,1,Friday,2.4,90,1
2021-01-01,1,2021,1,Friday,1.8,88,1
2021-01-01,2,2021,1,Friday,1.1,87,2
2021-01-01,3,2021,1,Friday,1.6,81,2
2021-01-01,4,2021,1,Friday,1.6,77,2
2021-01-01,5,2021,1,Friday,1.4,75,2
2021-01-01,6,2021,1,Friday,1.4,72,2
2021-01-01,7,2021,1,Friday,1.4,71,3
2021-01-01,8,2021,1,Friday,1.4,71,3
2021-01-01,9,2021,1,Friday,1.6,70,3
2021-01-01,10,2021,1,Friday,1.9,69,3
2021-01-01,11,2021,1,Friday,2.0,71,3
2021-01-01,12,2021,1,Friday,2.0,80,51
2021-01-01,13,2021,1,Friday,2.1,87,53
2021-01-01,14,2021,1,Friday,2.2,90,53
2021-01-01,15,2021,1,Friday,2.3,92,53
2021-01-01,16,2021,1,Friday,2.5,94,53
2021-01-01,17,2021,1,Friday,2.5,95,53
2021-01-01,18,2021,1,Friday,2.7,96,61
2021-01-01,19,2021,1,Friday,3.0,97,63
2021-01-01,20,2021,1,Friday,3.5,97,63
2021-01-01,21,2021,1,Friday,4.1,98,61
2021-01-01,22,2021,1,Friday,4.7,98,63
2021-01-01,23,2021,1,Friday,5.2,98,63
2021-01-02,0,2021,1,Saturday,5.2,99,61
2021-01-02,1,2021,1,Saturday,5.1,99,51
2021-01-02,2,2021,1,Saturday,5.2,98,3
2021-01-02,3,2021,1,Saturday,4.0,98,3
2021-01-02,4,2021,1,Saturday,4.4,98,3
2021-01-02,5,2021,1,Saturday,5.2,98,3
2021-01-02,6,2021,1,Saturday,5.9,97,3
2021-01-02,7,2021,1,Saturday,6.3,97,3
2021-01-02,8,2021,1,Saturday,6.5,96,3
2021-01-02,9,2021,1,Saturday,6.7,97,3
2021-01-02,10,2021,1,Saturday,7.7,97,3
2021-01-02,11,2021,1,Saturday,9.5,93,3
2021-01-02,12,2021,1,Saturday,11.2,80,1
2021-01-02,13,2021,1,Saturday,11.9,66,1
2021-01-02,14,2021,1,Saturday,11.8,62,3
2021-01-02,15,2021,1,Saturday,12.4,63,3
2021-01-02,16,2021,1,Saturday,11.8,63,2
2021-01-02,17,2021,1,Saturday,11.1,64,1
2021-01-02,18,2021,1,Saturday,9.4,70,1
2021-01-02,19,2021,1,Saturday,8.1,76,1
2021-01-02,20,2021,1,Saturday,7.0,81,2
2021-01-02,21,2021,1,Saturday,6.0,85,1
2021-01-02,22,2021,1,Saturday,5.0,89,1
2021-01-02,23,2021,1,Saturday,4.1,91,1
2021-01-03,0,2021,1,Sunday,3.4,92,1
2021-01-03,1,2021,1,Sunday,3.1,91,1
2021-01-03,2,2021,1,Sunday,2.9,91,1
2021-01-03,3,2021,1,Sunday,3.1,88,1
2021-01-03,4,2021,1,Sunday,3.3,86,3
2021-01-03,5,2021,1,Sunday,3.9,81,2
2021-01-03,6,2021,1,Sunday,3.7,86,61
2021-01-03,7,2021,1,Sunday,3.6,91,61
2021-01-03,8,2021,1,Sunday,3.4,93,63
2021-01-03,9,2021,1,Sunday,3.2,93,53
2021-01-03,10,2021,1,Sunday,3.5,93,3
2021-01-03,11,2021,1,Sunday,3.9,92,3
2021-01-03,12,2021,1,Sunday,4.4,91,3
2021-01-03,13,2021,1,Sunday,5.1,89,3
2021-01-03,14,2021,1,Sunday,5.3,89,3
2021-01-03,15,2021,1,Sunday,4.5,95,53
2021-01-03,16,2021,1,Sunday,4.6,96,53
2021-01-03,17,2021,1,Sunday,4.5,97,53
2021-01-03,18,2021,1,Sunday,4.3,97,51
2021-01-03,19,2021,1,Sunday,4.3,98,3
2021-01-03,20,2021,1,Sunday,4.2,97,3
2021-01-03,21,2021,1,Sunday,4.1,97,2
2021-01-03,22,2021,1,Sunday,4.0,96,2
2021-01-03,23,2021,1,Sunday,3.8,95,1
2021-01-04,0,2021,1,Monday,3.4,94,1
2021-01-04,1,2021,1,Monday,2.8,94,0
2021-01-04,2,2021,1,Monday,2.2,94,1
2021-01-04,3,2021,1,Monday,2.2,95,0
2021-01-04,4,2021,1,Monday,1.8,95,0
2021-01-04,5,2021,1,Monday,1.3,96,0
2021-01-04,6,2021,1,Monday,0.9,96,0
2021-01-04,7,2021,1,Monday,0.6,95,0
2021-01-04,8,2021,1,Monday,0.4,95,0
2021-01-04,9,2021,1,Monday,0.7,94,0
2021-01-04,10,2021,1,Monday,2.4,92,0
2021-01-04,11,2021,1,Monday,4.9,82,1
2021-01-04,12,2021,1,Monday,6.2,74,1
2021-01-04,13,2021,1,Monday,7.0,63,1
2021-01-04,14,2021,1,Monday,6.9,61,2
2021-01-04,15,2021,1,Monday,8.2,59,3
2021-01-04,16,2021,1,Monday,7.8,60,3
2021-01-04,17,2021,1,Monday,7.3,65,3
2021-01-04,18,2021,1,Monday,6.7,70,3
2021-01-04,19,2021,1,Monday,5.9,77,3
2021-01-04,20,2021,1,Monday,5.1,83,3
2021-01-04,21,2021,1,Monday,4.7,86,3
2021-01-04,22,2021,1,Monday,4.4,87,3
2021-01-04,23,2021,1,Monday,4.2,88,3
2021-01-05,0,2021,1,Tuesday,3.6,90,3
2021-01-05,1,2021,1,Tuesday,3.3,91,3
2021-01-05,2,2021,1,Tuesday,3.1,91,3
2021-01-05,3,2021,1,Tuesday,3.5,86,3
2021-01-05,4,2021,1,Tuesday,3.1,88,3
2021-01-05,5,2021,1,Tuesday,2.6,91,3
2021-01-05,6,2021,1,Tuesday,2.7,91,3
2021-01-05,7,2021,1,Tuesday,2.8,91,3
2021-01-05,8,2021,1,Tuesday,2.8,91,3
2021-01-05,9,2021,1,Tuesday,2.9,91,3
2021-01-05,10,2021,1,Tuesday,3.8,88,3
2021-01-05,11,2021,1,Tuesday,5.0,82,3
2021-01-05,12,2021,1,Tuesday,5.9,73,3
